,10,100,1000,10000,100000,1000000
1/2^1,0.0051326751708984375,0.006345272064208984,0.03161787986755371,0.31134462356567383,3.1573903560638428,31.577045917510986
1/2^2,0.0035903453826904297,0.005671024322509766,0.029427766799926758,0.29866790771484375,3.3385913372039795,32.03533577919006
1/2^3,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1/2^4,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1/2^5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1/2^6,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1/2^7,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1/2^8,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1/2^9,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1/2^10,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
