,10,100,1000,10000
1/2^1,0.0034809112548828125,0.005784749984741211,0.029318571090698242,0.28235340118408203
1/2^2,0.0037577152252197266,0.0059397220611572266,0.028919696807861328,0.29396486282348633
1/2^3,0.0037224292755126953,0.005963325500488281,0.03010082244873047,0.27221155166625977
1/2^4,0.0037238597869873047,0.006070375442504883,0.028932571411132812,0.26358652114868164
1/2^5,0.003900766372680664,0.005774974822998047,0.02908182144165039,0.26227498054504395
1/2^6,-1.0,-1.0,-1.0,-1.0
1/2^7,-1.0,-1.0,-1.0,-1.0
1/2^8,-1.0,-1.0,-1.0,-1.0
1/2^9,-1.0,-1.0,-1.0,-1.0
1/2^10,-1.0,-1.0,-1.0,-1.0
