,10,100,1000,10000,100000,1000000
1/2^1,0.0038216114044189453,0.006026268005371094,0.029987096786499023,0.3089275360107422,3.6795313358306885,34.517279624938965
1/2^2,0.00386810302734375,0.005991220474243164,0.029395103454589844,0.30327630043029785,3.345651865005493,34.613595485687256
1/2^3,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1/2^4,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1/2^5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1/2^6,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1/2^7,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1/2^8,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1/2^9,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1/2^10,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
