,10,100,1000,10000,100000,1000000
1/2^1,0.0026924610137939453,0.005003452301025391,0.028155088424682617,0.2588019371032715,2.6963260173797607,26.960924863815308
1/2^2,0.002947092056274414,0.004971742630004883,0.028154373168945312,0.2625727653503418,2.731128215789795,27.07561421394348
1/2^3,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1/2^4,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1/2^5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1/2^6,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1/2^7,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1/2^8,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1/2^9,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1/2^10,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
