,10,100,1000,10000
1/2^1,0.003625154495239258,0.005938291549682617,0.029574155807495117,0.2809004783630371
1/2^2,0.003968000411987305,0.006020784378051758,0.029253482818603516,0.3144381046295166
1/2^3,0.003957271575927734,0.00603938102722168,0.029200315475463867,0.28989195823669434
1/2^4,0.004049062728881836,0.006361484527587891,0.031041622161865234,0.2729663848876953
1/2^5,0.003998756408691406,0.006068706512451172,0.029941320419311523,0.2684926986694336
1/2^6,-1.0,-1.0,-1.0,-1.0
1/2^7,-1.0,-1.0,-1.0,-1.0
1/2^8,-1.0,-1.0,-1.0,-1.0
1/2^9,-1.0,-1.0,-1.0,-1.0
1/2^10,-1.0,-1.0,-1.0,-1.0
