,10,100,1000,10000,100000,1000000
1/2^1,0.0031485557556152344,0.005462169647216797,0.02892899513244629,0.2715909481048584,2.890887975692749,28.893606424331665
1/2^2,0.003503561019897461,0.005608797073364258,0.028766870498657227,0.2837803363800049,3.0258469581604004,33.79552865028381
1/2^3,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1/2^4,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1/2^5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1/2^6,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1/2^7,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1/2^8,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1/2^9,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1/2^10,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
