,10,100,1000,10000
1/2^1,0.0041806697845458984,0.00665283203125,0.030262470245361328,0.27422142028808594
1/2^2,0.004500150680541992,0.006539106369018555,0.030420780181884766,0.3318631649017334
1/2^3,0.00449824333190918,0.006548166275024414,0.03006148338317871,0.29294753074645996
1/2^4,0.004518270492553711,0.0065441131591796875,0.030590534210205078,0.2664761543273926
1/2^5,0.004539012908935547,0.006809711456298828,0.031163454055786133,0.26457738876342773
1/2^6,-1.0,-1.0,-1.0,-1.0
1/2^7,-1.0,-1.0,-1.0,-1.0
1/2^8,-1.0,-1.0,-1.0,-1.0
1/2^9,-1.0,-1.0,-1.0,-1.0
1/2^10,-1.0,-1.0,-1.0,-1.0
