,10,100,1000,10000,100000,1000000
1/2^1,0.0030059814453125,0.0053975582122802734,0.029157638549804688,0.2864692211151123,2.9351909160614014,29.824018001556396
1/2^2,0.003377676010131836,0.0054209232330322266,0.029438018798828125,0.2795381546020508,2.9812891483306885,30.030051469802856
1/2^3,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1/2^4,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1/2^5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1/2^6,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1/2^7,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1/2^8,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1/2^9,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1/2^10,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
