,10,100,1000,10000
1/2^1,0.0036792755126953125,0.00651860237121582,0.02956986427307129,0.3243081569671631
1/2^2,0.0044362545013427734,0.007573127746582031,0.03250861167907715,0.30318593978881836
1/2^3,0.0039844512939453125,0.00590968132019043,0.029206514358520508,0.27407240867614746
1/2^4,0.003876209259033203,0.0061757564544677734,0.029206037521362305,0.2597489356994629
1/2^5,0.003953218460083008,0.005925655364990234,0.02945542335510254,0.26175618171691895
1/2^6,0.003863811492919922,0.0059986114501953125,0.029048919677734375,0.2594597339630127
1/2^7,0.004001140594482422,0.0059778690338134766,0.02913212776184082,0.2575564384460449
1/2^8,-1.0,-1.0,-1.0,-1.0
1/2^9,-1.0,-1.0,-1.0,-1.0
1/2^10,-1.0,-1.0,-1.0,-1.0
