,10,100,1000,10000
1/2^1,0.005244255065917969,0.00745844841003418,0.03211808204650879,0.3443615436553955
1/2^2,0.006106853485107422,0.007474422454833984,0.031418561935424805,0.48277711868286133
1/2^3,0.0055010318756103516,0.007860898971557617,0.031185388565063477,0.36208248138427734
1/2^4,0.0053784847259521484,0.007546901702880859,0.03147768974304199,0.2745347023010254
1/2^5,0.0057795047760009766,0.008410930633544922,0.03342413902282715,0.2761826515197754
1/2^6,-1.0,-1.0,-1.0,-1.0
1/2^7,-1.0,-1.0,-1.0,-1.0
1/2^8,-1.0,-1.0,-1.0,-1.0
1/2^9,-1.0,-1.0,-1.0,-1.0
1/2^10,-1.0,-1.0,-1.0,-1.0
