,10,100,1000,10000,100000,1000000
1/2^1,0.0028197765350341797,0.0051043033599853516,0.027909040451049805,0.2714574337005615,2.797987461090088,27.75706171989441
1/2^2,0.00315093994140625,0.005188703536987305,0.028713703155517578,0.2707955837249756,2.8241403102874756,28.17491388320923
1/2^3,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1/2^4,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1/2^5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1/2^6,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1/2^7,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1/2^8,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1/2^9,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1/2^10,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
