,10,100,1000,10000
1/2^1,0.0047664642333984375,0.00711822509765625,0.030887126922607422,0.3610236644744873
1/2^2,0.004922628402709961,0.006971836090087891,0.031095027923583984,0.3725101947784424
1/2^3,0.00487518310546875,0.007071018218994141,0.031035900115966797,0.3242673873901367
1/2^4,0.004874229431152344,0.006948947906494141,0.030622243881225586,0.2713451385498047
1/2^5,0.004939556121826172,0.006955146789550781,0.030925273895263672,0.2711148262023926
1/2^6,0.004866361618041992,0.006947994232177734,0.030940771102905273,0.28861188888549805
1/2^7,-1.0,-1.0,-1.0,-1.0
1/2^8,-1.0,-1.0,-1.0,-1.0
1/2^9,-1.0,-1.0,-1.0,-1.0
1/2^10,-1.0,-1.0,-1.0,-1.0
