,10,100,1000,10000
1/2^1,0.004106760025024414,0.006427288055419922,0.0302584171295166,0.2996864318847656
1/2^2,0.004431724548339844,0.006575822830200195,0.030052661895751953,0.33068132400512695
1/2^3,0.004413127899169922,0.006671428680419922,0.02973651885986328,0.29357385635375977
1/2^4,0.00453495979309082,0.0065114498138427734,0.029716014862060547,0.26418590545654297
1/2^5,0.0045223236083984375,0.006561994552612305,0.029644012451171875,0.2665572166442871
1/2^6,0.004436016082763672,0.006476402282714844,0.02991795539855957,0.2675294876098633
1/2^7,-1.0,-1.0,-1.0,-1.0
1/2^8,-1.0,-1.0,-1.0,-1.0
1/2^9,-1.0,-1.0,-1.0,-1.0
1/2^10,-1.0,-1.0,-1.0,-1.0
