,10,100,1000,10000
1/2^1,0.005192279815673828,0.007479429244995117,0.031041383743286133,0.32437777519226074
1/2^2,0.0054438114166259766,0.00737762451171875,0.03310108184814453,0.4119136333465576
1/2^3,0.00529170036315918,0.00735926628112793,0.03135037422180176,0.33063626289367676
1/2^4,0.005398750305175781,0.007448911666870117,0.032085418701171875,0.26749134063720703
1/2^5,-1.0,-1.0,-1.0,-1.0
1/2^6,-1.0,-1.0,-1.0,-1.0
1/2^7,-1.0,-1.0,-1.0,-1.0
1/2^8,-1.0,-1.0,-1.0,-1.0
1/2^9,-1.0,-1.0,-1.0,-1.0
1/2^10,-1.0,-1.0,-1.0,-1.0
