,10,100,1000,10000
1/2^1,0.0038084983825683594,0.006135463714599609,0.029760360717773438,0.2912111282348633
1/2^2,0.004082918167114258,0.006237030029296875,0.02966475486755371,0.3004450798034668
1/2^3,0.004166364669799805,0.006152629852294922,0.029941797256469727,0.283008337020874
1/2^4,0.0040760040283203125,0.006171226501464844,0.029798030853271484,0.27242493629455566
1/2^5,0.004269838333129883,0.006164073944091797,0.029368877410888672,0.26566100120544434
1/2^6,0.004071950912475586,0.006117582321166992,0.029430389404296875,0.26831841468811035
1/2^7,0.004090785980224609,0.006124019622802734,0.029669761657714844,0.26857447624206543
1/2^8,0.004071950912475586,0.006118059158325195,0.03023386001586914,0.2680075168609619
1/2^9,0.0040531158447265625,0.006224155426025391,0.029937267303466797,0.26816630363464355
1/2^10,-1.0,-1.0,-1.0,-1.0
