,10,100,1000,10000
1/2^1,0.22,0.025999999999999995,0.010800000000000032,0.009800000000000031
1/2^2,0.16,0.06399999999999997,0.0024000000000000132,0.006660000000000027
1/2^3,0.51,0.11600000000000002,0.009399999999999992,0.0025400000000000422
1/2^4,0.88,0.15399999999999997,0.030800000000000022,0.00041000000000001013
1/2^5,1.0,0.148,0.06559999999999999,0.003899999999999987
1/2^6,1.0,0.33899999999999997,0.1086,0.011959999999999998
1/2^7,0.0,0.0,0.0,0.0
1/2^8,0.0,0.0,0.0,0.0
1/2^9,0.0,0.0,0.0,0.0
1/2^10,0.0,0.0,0.0,0.0
