,10,100,1000,10000
1/2^1,0.26,0.003333333333333327,0.016800000000000013,0.020973333333333313
1/2^2,0.3333333333333333,0.02933333333333332,0.010999999999999998,0.016806666666666633
1/2^3,0.45999999999999996,0.08866666666666666,0.0026666666666666818,0.005733333333333305
1/2^4,0.6,0.20800000000000002,0.009599999999999987,0.0002666666666666718
1/2^5,0.6,0.39666666666666667,0.029066666666666664,0.001383333333333337
1/2^6,0.6,0.36466666666666664,0.06786666666666664,0.00336666666666666
1/2^7,0.6,0.5893333333333333,0.15873333333333337,0.007886666666666679
1/2^8,0.0,0.0,0.0,0.0
1/2^9,0.0,0.0,0.0,0.0
1/2^10,0.0,0.0,0.0,0.0
