,10,100,1000,10000,100000,1000000
1/2^1,0.2,0.06,0.051000000000000045,0.05109999999999998,0.018210000000000004,0.001821000000000017
1/2^2,0.4,0.02999999999999997,0.02300000000000002,0.024099999999999955,0.0242,0.003574999999999995
1/2^3,0.5,0.08999999999999997,0.01100000000000001,0.011900000000000022,0.011940000000000006,0.007099999999999995
1/2^4,0.5,0.22000000000000003,0.015000000000000013,0.005800000000000027,0.005950000000000011,0.00595699999999999
1/2^5,0.7,0.39,0.04299999999999998,0.0030999999999999917,0.0029599999999999627,0.0029759999999999787
1/2^6,1.0,0.51,0.09200000000000003,0.007099999999999995,0.0014699999999999713,0.0014879999999999893
1/2^7,1.0,0.47,0.184,0.017699999999999994,0.0011200000000000099,0.0007420000000000204
1/2^8,1.0,0.5733333333333334,0.32899999999999996,0.03750000000000003,0.003180000000000016,0.0003730000000000122
1/2^9,1.0,0.92,0.527,0.07600000000000001,0.007290000000000019,0.0005040000000000044
1/2^10,1.0,1.0,0.488,0.1502,0.015110000000000012,0.0013620000000000299
