,10,100,1000,10000
1/2^1,0.35555555555555557,0.05361111111111109,0.015750000000000017,0.019425
1/2^2,0.6369047619047619,0.15305555555555556,0.003805555555555563,0.00919166666666667
1/2^3,0.9702380952380952,0.25833333333333336,0.01155555555555554,0.003933333333333347
1/2^4,1.0,0.3275,0.04574999999999999,0.00045833333333333625
1/2^5,1.0,0.49686507936507923,0.12205555555555557,0.0030333333333333436
1/2^6,0.0,0.0,0.0,0.0
1/2^7,0.0,0.0,0.0,0.0
1/2^8,0.0,0.0,0.0,0.0
1/2^9,0.0,0.0,0.0,0.0
1/2^10,0.0,0.0,0.0,0.0
