,10,100,1000,10000
1/2^1,0.2904761904761905,0.026666666666666637,0.011476190476190463,0.013804761904761908
1/2^2,0.4666666666666667,0.10238095238095236,0.002904761904761892,0.007304761904761885
1/2^3,0.9619047619047619,0.21619047619047618,0.007047619047619044,0.0029009523809523847
1/2^4,1.0,0.2728571428571429,0.029476190476190458,0.00018666666666666414
1/2^5,1.0,0.3914285714285714,0.08114285714285713,0.002497142857142859
1/2^6,0.0,0.0,0.0,0.0
1/2^7,0.0,0.0,0.0,0.0
1/2^8,0.0,0.0,0.0,0.0
1/2^9,0.0,0.0,0.0,0.0
1/2^10,0.0,0.0,0.0,0.0
