,10,100,1000,10000,100000,1000000
1/2^1,0.25,0.011,0.022300000000000004,0.019740000000000018,0.019158000000000012,0.019105200000000044
1/2^2,0.4,0.04900000000000001,0.00730000000000002,0.012249999999999994,0.012690000000000012,0.012737599999999991
1/2^3,0.8200000000000001,0.141,0.006199999999999981,0.005100000000000021,0.006127000000000002,0.006230200000000022
1/2^4,1.0,0.224,0.018399999999999993,0.0008200000000000267,0.0028640000000000393,0.0030688000000000304
1/2^5,1.0,0.292,0.0445,0.0029999999999999827,0.0010900000000000358,0.0014938000000000206
1/2^6,1.0,0.622,0.11069999999999999,0.008659999999999973,0.0002330000000000085,0.0006776000000000176
1/2^7,1.0,1.0,0.20060000000000003,0.017579999999999985,0.0014139999999999815,0.00020410000000001315
1/2^8,1.0,1.0,0.2626,0.03334000000000001,0.0034109999999999913,0.00016739999999999756
1/2^9,1.0,1.0,0.46840000000000004,0.08463,0.007339999999999985,0.0006221999999999805
1/2^10,1.0,1.0,1.0,0.1752,0.014891999999999975,0.0013870999999999795
