,10,100,1000,10000
1/2^1,0.09999999999999999,0.008333333333333333,0.03374999999999999,0.04975
1/2^2,0.18333333333333332,0.015000000000000006,0.0049999999999999975,0.016375000000000008
1/2^3,0.25,0.044999999999999984,0.0030000000000000005,0.004025000000000015
1/2^4,0.375,0.1025,0.007249999999999998,0.0007499999999999937
1/2^5,0.5,0.15750000000000003,0.016249999999999997,0.0008249999999999993
1/2^6,0.5,0.2141666666666667,0.036250000000000004,0.0029750000000000054
1/2^7,0.5,0.33083333333333337,0.0805,0.006650000000000005
1/2^8,0.5,0.44,0.156,0.013574999999999983
1/2^9,0.5,0.5,0.19125,0.028500000000000008
1/2^10,0.0,0.0,0.0,0.0
