,10,100,1000,10000,100000,1000000
1/2^1,0.06666666666666667,0.006666666666666667,0.0006666666666666666,6.666666666666667e-05,6.6666666666666675e-06,6.666666666666666e-07
1/2^2,0.11666666666666667,0.011666666666666667,0.0011666666666666668,0.00011666666666666667,1.1666666666666668e-05,1.1666666666666666e-06
1/2^3,0.0,0.0,0.0,0.0,0.0,0.0
1/2^4,0.0,0.0,0.0,0.0,0.0,0.0
1/2^5,0.0,0.0,0.0,0.0,0.0,0.0
1/2^6,0.0,0.0,0.0,0.0,0.0,0.0
1/2^7,0.0,0.0,0.0,0.0,0.0,0.0
1/2^8,0.0,0.0,0.0,0.0,0.0,0.0
1/2^9,0.0,0.0,0.0,0.0,0.0,0.0
1/2^10,0.0,0.0,0.0,0.0,0.0,0.0
