,10,100,1000,10000
1/2^1,0.4190476190476191,0.036190476190476176,0.011085714285714268,0.0058028571428571825
1/2^2,0.37142857142857144,0.07714285714285714,0.012685714285714265,0.0041171428571428635
1/2^3,0.8857142857142858,0.16190476190476188,0.010333333333333333,0.0054999999999999745
1/2^4,1.0,0.3376190476190476,0.02704761904761906,0.0011771428571428844
1/2^5,1.0,0.3271428571428571,0.06047619047619047,0.0033190476190476242
1/2^6,1.0,0.72,0.1280952380952381,0.008038095238095233
1/2^7,0.0,0.0,0.0,0.0
1/2^8,0.0,0.0,0.0,0.0
1/2^9,0.0,0.0,0.0,0.0
1/2^10,0.0,0.0,0.0,0.0
