,10,100,1000,10000,100000,1000000
1/2^1,0.1,0.006666666666666666,0.0006666666666666666,6.666666666666664e-05,6.666666666666667e-06,6.666666666666666e-07
1/2^2,0.1,0.026666666666666665,0.0016666666666666666,0.00016666666666666666,1.6666666666666667e-05,1.6666666666666667e-06
1/2^3,0.0,0.0,0.0,0.0,0.0,0.0
1/2^4,0.0,0.0,0.0,0.0,0.0,0.0
1/2^5,0.0,0.0,0.0,0.0,0.0,0.0
1/2^6,0.0,0.0,0.0,0.0,0.0,0.0
1/2^7,0.0,0.0,0.0,0.0,0.0,0.0
1/2^8,0.0,0.0,0.0,0.0,0.0,0.0
1/2^9,0.0,0.0,0.0,0.0,0.0,0.0
1/2^10,0.0,0.0,0.0,0.0,0.0,0.0
