,10,100,1000,10000,100000,1000000
1/2^1,0.06666666666666667,0.004166666666666666,0.0038333333333333275,0.013174999999999992,0.002547500000000001,0.00025474999999999977
1/2^2,0.2,0.015,0.0010000000000000009,0.0001583333333333367,4.8333333333330786e-05,0.00013316666666666338
1/2^3,0.38333333333333336,0.03,0.0010000000000000009,0.00010000000000000286,2.9166666666663454e-05,3.9166666666666516e-05
1/2^4,0.65,0.06,0.005499999999999998,0.0004083333333333161,9.166666666671208e-06,9.083333333326227e-06
1/2^5,0.8833333333333334,0.15416666666666667,0.012999999999999998,0.0008500000000000035,0.00026166666666666005,2.4166666666575187e-06
1/2^6,1.0,0.2941666666666667,0.026999999999999996,0.002450000000000001,6.0000000000004494e-05,2.583333333333604e-06
1/2^7,1.0,0.5541666666666667,0.051,0.005250000000000001,0.00042500000000000177,2.2999999999995246e-05
1/2^8,1.0,0.7725,0.124,0.0107,0.0010149999999999985,5.3499999999997994e-05
1/2^9,1.0,1.0,0.2363333333333333,0.02145,0.002114999999999999,0.00018649999999999917
1/2^10,1.0,1.0,0.453,0.04195,0.004280000000000001,0.0004149999999999987
