,10,100,1000,10000,100000,1000000
1/2^1,0.08166666666666667,0.008166666666666666,0.0008166666666666666,8.166666666666667e-05,8.166666666666668e-06,8.166666666666665e-07
1/2^2,0.18166666666666667,0.018166666666666668,0.0018166666666666665,0.00018166666666666667,1.8166666666666667e-05,1.8166666666666667e-06
1/2^3,0.0,0.0,0.0,0.0,0.0,0.0
1/2^4,0.0,0.0,0.0,0.0,0.0,0.0
1/2^5,0.0,0.0,0.0,0.0,0.0,0.0
1/2^6,0.0,0.0,0.0,0.0,0.0,0.0
1/2^7,0.0,0.0,0.0,0.0,0.0,0.0
1/2^8,0.0,0.0,0.0,0.0,0.0,0.0
1/2^9,0.0,0.0,0.0,0.0,0.0,0.0
1/2^10,0.0,0.0,0.0,0.0,0.0,0.0
