,10,100,1000,10000
1/2^1,0.049999999999999996,0.024999999999999998,0.004250000000000004,0.005574999999999997
1/2^2,0.08333333333333334,0.04416666666666667,0.004666666666666666,0.0027500000000000024
1/2^3,0.16666666666666669,0.028333333333333335,0.010916666666666665,0.0011499999999999844
1/2^4,0.3,0.034999999999999996,0.021583333333333333,0.0018749999999999947
1/2^5,0.39999999999999997,0.065,0.04299999999999999,0.004124999999999997
1/2^6,0.0,0.0,0.0,0.0
1/2^7,0.0,0.0,0.0,0.0
1/2^8,0.0,0.0,0.0,0.0
1/2^9,0.0,0.0,0.0,0.0
1/2^10,0.0,0.0,0.0,0.0
