,10,100,1000,10000,100000,1000000
1/2^1,0.05000000000000002,0.0050000000000000044,0.0010000000000000286,0.0010749999999999926,0.0004649999999999932,4.650000000000487e-05
1/2^2,0.2,0.009999999999999995,0.0005000000000000282,0.0002999999999999947,0.00026750000000000385,4.700000000001925e-05
1/2^3,0.425,0.015,0.0015000000000000013,0.00020000000000000573,6.749999999999812e-05,4.650000000000487e-05
1/2^4,0.5,0.034999999999999976,0.003999999999999976,0.0003499999999999892,3.500000000000725e-05,1.7249999999996435e-05
1/2^5,0.5,0.135,0.007499999999999993,0.0007500000000000007,7.499999999999174e-05,7.499999999993623e-06
1/2^6,0.5,0.35250000000000004,0.015,0.0015000000000000013,0.00015000000000001124,1.5000000000015001e-05
1/2^7,0.0,0.0,0.0,0.0,0.0,0.0
1/2^8,0.0,0.0,0.0,0.0,0.0,0.0
1/2^9,0.0,0.0,0.0,0.0,0.0,0.0
1/2^10,0.0,0.0,0.0,0.0,0.0,0.0
